,fallacy_reason,fallacy_type,premise_content,premise_type,title,url
102,haha joint smoke weed,Joint Effect,HaHa SmOkE wEeD,because,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
103,you nigga stop it,Irrelevant Conclusion,HaHa SmOkE wEeD,because,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
104,DIE IN HELL,Slothful Induction,HaHa SmOkE wEeD,because,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
105,Please don't shitpost. by doing that you're giving me points.,Wrong Direction,you are not right,but,Portugal should not be allowed to move to the new world like that.,https://en.arguman.org/portugal-should-not-be-allowed-to-move-to-the-new-world-like-that
106,"so what it's not about him, it's about everybody",Fallacy Of Red Herring,"dude, we have george in the chat, how low can the quality go from there ?",but,Images and image previews should be allowed on /r/europe,https://en.arguman.org/images-and-image-previews-should-be-allowed-on-reurope-148b9ef96f64413aadc18e2a669a0d25
107,"Only appeals to one user, not relevant.",Irrelevant Conclusion,"dude, we have george in the chat, how low can the quality go from there ?",but,Images and image previews should be allowed on /r/europe,https://en.arguman.org/images-and-image-previews-should-be-allowed-on-reurope-148b9ef96f64413aadc18e2a669a0d25
108,"ghay, he doesnt want a female only room",Irrelevant Conclusion,i dont know what you are saying but we need to make a room just for girls,however,Images and image previews should be allowed on /r/europe,https://en.arguman.org/images-and-image-previews-should-be-allowed-on-reurope-148b9ef96f64413aadc18e2a669a0d25
109,nigga why don't you stop shitposting,Irrelevant Conclusion,i dont know what you are saying but we need to make a room just for girls,however,Images and image previews should be allowed on /r/europe,https://en.arguman.org/images-and-image-previews-should-be-allowed-on-reurope-148b9ef96f64413aadc18e2a669a0d25
110,No correlation to the argument you responded to.,Irrelevant Conclusion,"At the same time, capitalism exploits natural disasters and, in the sense of climate change, contributes to them.",but,All the problems in the world can be traced back to capitalism,https://en.arguman.org/all-the-problems-in-the-world-can-be-traced-back-to-capitalism
111,"European countries also had criminals, the argument is asking what makes America's situation different.",Irrelevant Conclusion,"Criminals usually wouldn't care if they were going to commit crime (like robbing a bank, for ex.) about breaking a separate crime, due to them being criminals, therefore making gun control only negatively affecting the upstanding citizens who want to stop crime by using guns. Gun control is useless.",because,"Gun control has worked in many European countries, but will most likely not work in the United States.",https://en.arguman.org/gun-control-has-worked-in-many-european-countries-but-will-most-likely-not-work-in-the-united-states
112,Negativity within the JS community not negativity towards JS.,Fallacy Of Red Herring,"Calling criticism an issue is the real issue. Hate towards JS is often backed up with real arguments, like it's inconsistency (e.g. pointed out in Gary Bernhardt's Wat talk), inefficience when deploying large applications (having to minify the files or use webpack to minimize the size), and more",but,Negativity in the javascript community is becoming an issue,https://en.arguman.org/negativity-in-the-javascript-community-is-becoming-an-issue
113,"We are talking about the risk/possibility of resources consumed excessively by making them as common goods when shared to poor countries, not whether by default resources are abundant in one place and lacking in the other places.",Irrelevant Conclusion,Some people have more than they need and could give to those in need.,but,Rich countries must stop foreign aids to poor countries.,https://en.arguman.org/a-belief-that-earth-resources-should-be-shared-equitably-to-all-humans-instills-the-emergence-of-the-tragedy-of-the-commons-a-situation-where-excessive-consumption-of-resources-is-inevitable-due-to-the-absence-of-private-property-rights
114,"You are not giving any more evidence or another point, you are just stating an opinion.",Irrelevant Conclusion,"Haha, fair enough. You win on this point.",because,Cats are better than dogs,https://en.arguman.org/cats-are-better-than-dogs-814002fe3f6b4ef4adc7301c2e2dbb4b
115,A smiley face isn't an argument.,Irrelevant Conclusion,;),because,Cats are better than dogs,https://en.arguman.org/cats-are-better-than-dogs-814002fe3f6b4ef4adc7301c2e2dbb4b
116,Helping the poor has nothing to do with overpopulation.,Irrelevant Conclusion,"Helping the poor won't solve the problem of hunger. Even if the aid is in the form of helping countries increase their resource production (e.g. food), the central problem of ecology (i.e. excessive demand of resource) won't be solved. The central problem of hunger is overpopulation.",because,Rich countries must stop foreign aids to poor countries.,https://en.arguman.org/a-belief-that-earth-resources-should-be-shared-equitably-to-all-humans-instills-the-emergence-of-the-tragedy-of-the-commons-a-situation-where-excessive-consumption-of-resources-is-inevitable-due-to-the-absence-of-private-property-rights
117,"Might be a fallacy since the standard used to judge the concept ""works"" is a belief that it is going to make X (life) not Y (boring--which seems vague here).",Pragmatic Fallacy,At least you know what to do while spending time in this lame life. At least it's not going to be boring.,because,All people should live meaningful life.,https://en.arguman.org/i-should-live-meaningful-life
